"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 05 19:35:34 GMT 2025","Wed Feb 05 19:35:35 GMT 2025","246","","Login","","com.vemser.rest.login.LoginTest","testLoginWithNullCredentials","[CT-LOGIN-03]: Tentar Login com credenciais nulas","CT003: Tentar login com credenciais nulas"
"passed","Wed Feb 05 19:35:31 GMT 2025","Wed Feb 05 19:35:31 GMT 2025","122","","Health Check","","com.vemser.rest.test.HealthCheckTest","testHealthCheckJSONContract","[CT-TEST-02]: Validar contrato (JSON)","CT013: Validar contrato do JSON em Health Check"
"passed","Wed Feb 05 19:35:32 GMT 2025","Wed Feb 05 19:35:32 GMT 2025","270","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetProductByIDWithNegativeParam","[CT-PRODUCTS-10]: Tentar listar produto por ID com ID negativo","CT019: Tenta listar produto por ID com ID negativo"
"passed","Wed Feb 05 19:35:33 GMT 2025","Wed Feb 05 19:35:33 GMT 2025","253","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetAuthProductsWithInvalidToken","[CT-PRODUCTS-08]: Tenta listar todos os produtos (AUTH) com token inválido","CT017: Tenta listar todos os produtos (AUTH) com token inválido"
"failed","Wed Feb 05 19:35:33 GMT 2025","Wed Feb 05 19:35:33 GMT 2025","272","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetAllAuthProductsWithoutAuth","[CT-PRODUCTS-02]: Tentar listar todos os produtos sem autenticação","CT007: Tentar listar todos os produtos sem autenticação"
"passed","Wed Feb 05 19:35:27 GMT 2025","Wed Feb 05 19:35:29 GMT 2025","2725","","Post Products","","com.vemser.rest.products.PostProductsTest","testPostValidProductAndJsonSchema","[CT-PRODUCTS-05]: Validar contrato do JSON em cadastrar produto","CT010: Validar contrato do JSON em cadastrar produto"
"passed","Wed Feb 05 19:35:31 GMT 2025","Wed Feb 05 19:35:32 GMT 2025","972","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetProductByIDWithTextParam","[CT-PRODUCTS-11]: Tentar listar produto por ID com letras","CT020: Tenta listar produto por ID com ID com letras"
"broken","Wed Feb 05 19:35:31 GMT 2025","Wed Feb 05 19:35:31 GMT 2025","128","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetAllProductsWithAuthAndValidateJsonSchema","[CT-PRODUCTS-07]: Validar contrato do JSON em listar produtos com autenticação","CT012: Validar contrato do JSON em listar produtos com autenticação"
"broken","Wed Feb 05 19:35:32 GMT 2025","Wed Feb 05 19:35:32 GMT 2025","306","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetAllAuthProductsWithAuth","[CT-PRODUCTS-01]: Validar listar todos os produtos com autenticação","CT006: Validar listar todos os produtos com autenticação"
"passed","Wed Feb 05 19:35:28 GMT 2025","Wed Feb 05 19:35:31 GMT 2025","2574","","Post Products","","com.vemser.rest.products.PostProductsTest","testCreateValidProduct","[CT-PRODUCTS-03]: Validar criar produto","CT008: Validar criar produto com dados válidos"
"failed","Wed Feb 05 19:35:31 GMT 2025","Wed Feb 05 19:35:31 GMT 2025","185","","Get Users","","com.vemser.rest.users.GetUsersTest","testGetUsersJsonSchema","[CT-USERS-02]: Validar contrato JSON no endpoint users","CT015: Validar login de usuário listado em /users"
"passed","Wed Feb 05 19:35:35 GMT 2025","Wed Feb 05 19:35:35 GMT 2025","248","","Login","","com.vemser.rest.login.LoginTest","testLoginWithInvalidCredentials","[CT-LOGIN-02]: Tentar Login com credenciais inválidas","CT002: Tentar Login com credenciais inválidas"
"passed","Wed Feb 05 19:35:30 GMT 2025","Wed Feb 05 19:35:31 GMT 2025","890","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetProductByIDAndValidateJsonSchema","[CT-PRODUCTS-12]: Validar contrato do JSON em listar produto por ID","CT021: Valida contrato do JSON em listar produto por ID"
"passed","Wed Feb 05 19:35:04 GMT 2025","Wed Feb 05 19:35:07 GMT 2025","2640","","Health Check","","com.vemser.rest.test.HealthCheckTest","testHealthCheckEndpoint","[CT-TEST-01]: Validar Test - Health Check","CT000: Validar Test (Health Check)"
"failed","Wed Feb 05 19:35:32 GMT 2025","Wed Feb 05 19:35:32 GMT 2025","112","","Login","","com.vemser.rest.login.LoginTest","testLoginJSONContract","[CT-LOGIN-04]: Validar contrato (JSON)","Validar contrato do JSON em Login"
"passed","Wed Feb 05 19:35:32 GMT 2025","Wed Feb 05 19:35:33 GMT 2025","350","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetProductByIDWithValidParam","[CT-PRODUCTS-09]: Validar listar produto por ID com ID válido","CT018: Valida listar produto por ID com ID válido"
"passed","Wed Feb 05 19:35:33 GMT 2025","Wed Feb 05 19:35:34 GMT 2025","414","","Get Users","","com.vemser.rest.users.GetUsersTest","testValidGetClients","[CT-USERS-01]: Validar listar todos os usuários","CT004: Validar listar todos os usuários"
"passed","Wed Feb 05 19:35:29 GMT 2025","Wed Feb 05 19:35:30 GMT 2025","519","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetAllProductsWithoutAuthAndValidateJsonSchema","[CT-PRODUCTS-06]: Validar contrato do JSON em listar produtos sem autenticação","CT011: Validar contrato do JSON em listar produtos sem autenticação"
"failed","Wed Feb 05 19:35:34 GMT 2025","Wed Feb 05 19:35:34 GMT 2025","248","","Login","","com.vemser.rest.login.LoginTest","testLoginWithValidCredentials","[CT-LOGIN-01]: Validar Login com credenciais válidas","CT001: Validar Login com credenciais válidas"
